trade_date,open,high,low,close
20080102,195.03,196.95,195.03,196.46
20080103,197.6,201,197.6,200.8
20080104,203,203,200,202.5
20080107,201.2,201.2,200.21,200.26
20080108,201,204.05,200.8,203.9
20080109,205.1,209.14,204.1,208.83
20080110,208.5,208.5,205,205.6
20080111,205,209.1,204.1,208.4
20080114,209.98,211.2,209.79,211.18
20080115,212,212.79,211.2,212.34
20080116,212,212.6,206.21,206.72
20080117,208.48,208.48,205,206.98
20080118,208,208,204.35,205.25
20080121,205.98,206.9,205.5,205.76
20080122,205,205,200,200.4
20080123,200.4,207.78,200.4,207.33
20080124,206,208.8,204.9,207.25
20080125,209.25,211.86,208.55,211.85
20080128,211.78,213.15,211.78,213.09
20080129,213,215.1,212.3,214.3
20080130,214,214.88,213.7,214
20080131,214,214.7,212.5,213.98
20080201,214.7,214.7,212.6,213.98
20080204,212.7,214,210.05,210.11
20080205,208.88,210,208,208.97
20080213,211.48,214.5,208.2,208.2
20080214,209,210.9,209,210.87
20080215,210.7,211,209,210.45
20080218,212,213,209.25,209.33
20080219,209,210.38,208.99,210.16
20080220,211.5,214.1,211.5,213.35
20080221,213.35,216.8,211.7,216.49
20080222,216.5,218.15,216.38,217.18
20080225,216.8,218.1,216.8,217.89
20080226,218,218.79,214.5,214.8
20080227,214.7,219.9,214.7,219.8
20080228,219.8,220.5,218.4,218.49
20080229,220.39,222.3,219.5,221.35
20080303,224,224.97,223,224.89
20080304,224.99,225.8,224.2,224.51
20080305,226.03,226.03,220.9,220.9
20080306,220,226.4,220,225.73
20080307,225,225.8,223,225
20080310,225,225,222.5,224.01
20080311,222,223.58,221.01,222.38
20080312,224.68,224.75,222.41,223
20080313,224.3,225.2,223.58,225.2
20080314,226.5,227.86,226.5,226.9
20080317,232.38,234.3,231.5,233.59
20080318,233.2,233.2,227.2,228.78
20080319,232.38,232.38,224,226
20080320,223.01,223.01,208,213.65
20080321,210,212,207,209.95
20080324,207.5,209.6,206.78,206.9
20080325,209.5,210.49,208.5,210.34
20080326,211.1,213.6,210.8,212.21
20080327,213,215.89,213,214.64
20080328,214.5,214.5,212.5,213.31
20080331,213.31,213.31,209.95,212
20080401,212.9,212.9,204.91,205
20080402,202.5,203,197.6,200.99
20080403,199,205.5,199,203.39
20080407,207,207,205,205.75
20080408,206.5,209,206.3,207.15
20080409,205.08,206.5,204.51,204.86
20080410,205.2,210.2,205.2,208.99
20080411,209.5,210.5,207.1,208.09
20080414,206.18,207.5,205.85,207.3
20080415,208,210.2,207.6,210.19
20080416,210.2,210.2,208.45,209
20080417,212.3,213,211.8,212.47
20080418,212.5,212.6,211.45,212.34
20080421,208,208.1,206.9,207.29
20080422,208,208,205.9,206.02
20080423,207.2,207.49,206.3,206.75
20080424,206.68,206.68,202.4,203.71
20080425,203,203,200,200.32
20080428,201.5,203.3,201.2,202.02
20080429,202.06,202.06,199.9,200
20080430,198.4,199.5,196.8,198.13
20080505,197.35,197.35,194.62,194.98
20080506,196.8,197.5,195.5,196.8
20080507,197,198.3,196.3,196.46
20080508,196,196,194.7,194.91
20080509,197,199.21,196.35,199
20080512,199.5,200.1,198,198
