trade_date,open,high,low,close
20050104,994.769,994.769,980.658,982.794
20050105,981.577,997.323,979.877,992.564
20050106,993.331,993.788,980.33,983.174
20050107,983.045,995.711,979.812,983.958
20050110,983.76,993.959,979.789,993.879
20050111,994.189,999.554,991.092,997.135
20050112,996.651,996.976,989.257,996.748
20050113,996.078,999.473,992.695,996.877
20050114,996.617,1006.463,987.233,988.306
20050117,979.111,981.525,965.078,967.452
20050118,967.374,974.872,960.293,974.689
20050119,974.333,974.333,965.258,967.21
20050120,963.213,963.213,952.23,956.245
20050121,954.462,984.274,943.439,982.604
20050124,1001.854,1001.854,986.239,998.133
20050125,995.637,997.951,985.237,997.775
20050126,995.78,999.474,988.475,989.928
20050127,987.342,987.702,973.771,974.631
20050128,974.631,975.624,965.209,969.209
20050131,965.785,965.785,953.142,954.879
20050201,953.33,965.477,952.741,955.951
20050202,956.701,1006.932,956.701,1006.913
20050203,1005.563,1014.187,992.155,993.215
20050204,992.25,1021.025,989.939,1016.858
20050216,1023.324,1033.248,1018.487,1023.584
20050217,1024.43,1024.43,1010.476,1020.606
20050218,1020.122,1021.199,1005.631,1006.055
20050221,1006.693,1025.656,1006.693,1025.633
20050222,1026.837,1048.678,1024.527,1046.744
20050223,1046.812,1049.609,1036.625,1043.944
20050224,1042.253,1045.958,1034.731,1045.46
20050225,1046.274,1059.483,1045.982,1046.761
20050228,1046.206,1048.278,1035.039,1039.989
20050301,1039.351,1042.737,1031.168,1035.934
20050302,1036.368,1045.76,1021.004,1021.32
20050303,1019.876,1028.402,1014.752,1027.71
20050304,1027.927,1031.847,1022.176,1023.667
20050307,1024.48,1031.344,1024.48,1029.871
20050308,1033.786,1049.287,1032.85,1048.987
20050309,1051.26,1054.64,1041.982,1046.544
20050310,1046.692,1046.692,1019.634,1022.413
20050311,1021.084,1028.119,1016.931,1027.429
20050314,1027.175,1041.573,1014.925,1031.026
20050315,1030.857,1030.943,1011.641,1013.523
20050316,1011.85,1012.198,995.967,1003.065
20050317,1001.968,1004.821,992.124,992.863
20050318,991.887,996.396,975.705,978.665
20050321,977.296,983.178,973.001,981.893
20050322,981.707,982.138,959.563,964.024
20050323,962.816,975.362,955.993,959.01
20050324,957.43,965.06,948.53,964.801
20050325,964.245,966.97,959.057,962.955
20050328,961.652,961.652,948.806,960.696
20050329,960.419,968.119,954.744,955.19
20050330,952.713,952.713,936.375,937.034
20050331,934.848,942.365,928.335,942.203
20050401,941.431,989.902,937.55,978.145
20050404,968.49,974.064,956.128,962.168
20050405,960.54,967.746,953.586,955.598
20050406,955.598,977.855,948.948,973.668
20050407,975.97,1000.266,974.309,984.733
20050408,984.665,1003.699,979.529,1003.445
20050411,1003.879,1008.735,992.773,995.421
20050412,993.711,993.711,978.204,978.697
20050413,987.95,1006.499,987.95,1000.9
20050414,1004.64,1006.416,985.578,986.975
20050415,982.613,982.613,971.93,974.082
20050418,970.907,970.907,958.649,963.772
20050419,962.916,968.867,957.91,965.886
20050420,964.151,964.151,946.197,950.867
20050421,948.861,955.553,938.595,943.981
20050422,942.908,947.909,934.957,939.101
20050425,935.993,935.993,920.162,930.07
20050426,928.428,939.696,924.655,937.083
20050427,938.57,938.91,925.896,926.604
20050428,923.529,945.504,914.829,942.073
20050429,940.806,942.453,929.81,932.395
20050509,934.65,937.39,909.174,909.174
20050510,905.543,913.388,892.313,913.076
20050511,911.838,917.223,900.438,901.851
20050512,899.968,900.063,883.511,885.82
20050513,883.505,898.505,875.576,887.543
