trade_date,open,high,low,close
20000103,1471.21,1478.0,1438.36,1455.22
20000104,1449.0,1455.22,1397.42,1399.42
20000105,1395.62,1413.27,1377.68,1402.11
20000106,1398.87,1411.91,1392.02,1403.45
20000107,1403.45,1441.47,1400.53,1441.47
20000110,1441.47,1464.36,1441.47,1457.6
20000111,1454.36,1458.85,1434.42,1438.56
20000112,1438.56,1445.3,1427.31,1432.25
20000113,1436.02,1454.59,1432.25,1449.68
20000114,1449.68,1473.0,1449.67,1465.15
20000118,1465.15,1465.16,1451.25,1455.14
20000119,1451.99,1462.23,1448.66,1455.9
20000120,1455.9,1465.56,1438.56,1445.57
20000121,1448.87,1452.75,1439.53,1441.36
20000124,1444.36,1454.25,1395.42,1401.53
20000125,1402.87,1414.26,1388.49,1410.03
20000126,1407.12,1412.53,1400.14,1404.09
20000127,1404.09,1418.95,1380.53,1398.56
20000128,1397.73,1398.56,1356.14,1360.16
20000131,1359.73,1394.48,1350.14,1394.46
20000201,1395.05,1412.59,1384.75,1409.28
20000202,1408.74,1420.53,1403.2,1409.12
20000203,1413.53,1426.06,1398.53,1424.97
20000204,1427.49,1436.01,1420.53,1424.37
20000207,1426.02,1427.23,1413.33,1424.24
20000208,1424.24,1442.02,1424.23,1441.72
20000209,1444.38,1444.38,1411.64,1411.7
20000210,1413.71,1422.02,1406.38,1416.83
20000211,1415.16,1416.95,1379.16,1387.12
20000214,1390.07,1394.55,1380.62,1389.94
20000215,1389.78,1407.81,1376.2,1402.05
20000216,1401.97,1404.72,1385.58,1387.67
20000217,1387.67,1399.83,1380.06,1388.26
20000218,1388.26,1388.26,1345.29,1346.09
20000222,1347.02,1358.11,1331.97,1352.17
20000223,1352.84,1370.12,1342.42,1360.69
20000224,1361.79,1364.48,1329.91,1353.43
20000225,1353.6,1362.13,1329.13,1333.36
20000228,1331.57,1360.82,1325.02,1348.05
20000229,1348.05,1369.52,1348.05,1366.42
20000301,1366.83,1383.0,1366.42,1379.19
20000302,1380.65,1386.91,1370.31,1381.76
20000303,1386.77,1410.88,1381.77,1409.17
20000306,1409.4,1409.81,1384.78,1391.28
20000307,1397.25,1399.56,1349.59,1355.62
20000308,1359.92,1373.59,1346.5,1366.7
20000309,1366.7,1401.81,1357.84,1401.69
20000310,1401.69,1413.38,1392.07,1395.07
20000313,1395.03,1398.45,1365.31,1383.62
20000314,1388.91,1395.33,1359.14,1359.15
20000315,1359.39,1397.99,1356.99,1392.15
20000316,1394.9,1458.47,1392.16,1458.47
20000317,1458.47,1476.64,1453.2,1464.47
20000320,1467.96,1470.23,1448.42,1456.63
20000321,1456.63,1493.92,1446.03,1493.87
20000322,1494.47,1505.05,1487.41,1500.64
20000323,1501.03,1532.13,1493.77,1527.35
20000324,1527.35,1553.11,1516.84,1527.46
20000327,1528.7,1534.66,1518.63,1523.86
20000328,1521.06,1527.2,1507.2,1507.73
20000329,1509.07,1521.36,1497.31,1508.52
20000330,1508.52,1517.42,1474.63,1487.92
20000331,1494.06,1519.77,1484.53,1498.58
20000403,1498.57,1507.08,1487.09,1505.97
20000404,1509.47,1526.22,1417.22,1494.73
20000405,1491.46,1506.55,1478.06,1487.37
20000406,1487.38,1511.77,1487.38,1501.34
20000407,1503.84,1518.48,1501.34,1516.35
20000410,1516.85,1527.11,1503.02,1504.46
20000411,1499.18,1512.8,1486.88,1500.59
20000412,1500.67,1510.59,1466.16,1467.17
20000413,1471.67,1477.36,1440.34,1440.51
20000414,1436.67,1440.52,1339.41,1356.56
20000417,1356.56,1401.48,1346.67,1401.44
20000418,1402.48,1441.61,1397.61,1441.61
20000419,1442.16,1447.69,1425.27,1427.47
20000420,1427.77,1435.42,1421.98,1434.54
20000424,1434.54,1434.55,1407.16,1429.86
20000425,1438.42,1477.67,1429.86,1477.44
20000426,1477.4,1482.81,1457.27,1460.99
20000427,1452.83,1469.14,1434.84,1464.92
20000428,1468.01,1473.42,1448.48,1452.43
20000501,1456.75,1481.42,1452.42,1468.25
20000502,1467.57,1468.25,1445.14,1446.29
20000503,1444.21,1446.3,1398.36,1415.1
20000504,1415.54,1420.52,1404.98,1409.57
20000505,1408.32,1435.88,1405.16,1432.63
20000508,1432.63,1432.63,1416.92,1424.17
20000509,1426.51,1429.81,1401.86,1412.14
20000510,1410.53,1412.14,1375.2,1383.05
20000511,1386.88,1410.25,1383.05,1407.81
20000512,1408.28,1430.2,1407.81,1420.96
20000515,1421.0,1452.38,1417.05,1452.36
20000516,1456.11,1470.41,1450.77,1466.04
20000517,1466.04,1466.05,1441.63,1447.8
20000518,1448.25,1457.95,1436.66,1437.21
20000519,1433.74,1437.2,1401.77,1406.95
20000522,1406.95,1410.31,1368.63,1400.72
20000523,1400.72,1403.77,1373.42,1373.86
20000524,1372.84,1401.41,1361.2,1399.05
20000525,1399.05,1411.89,1373.98,1381.52
20000526,1381.52,1391.42,1369.75,1378.02
20000530,1382.65,1422.45,1377.8,1422.45
20000531,1420.93,1434.56,1415.39,1420.6
20000601,1425.53,1448.81,1420.59,1448.81
20000602,1460.23,1483.42,1448.81,1477.26
20000605,1474.06,1477.28,1464.68,1467.63
20000606,1467.26,1471.36,1454.74,1457.84
20000607,1458.83,1474.64,1455.06,1471.36
20000608,1471.28,1475.65,1456.49,1461.67
20000609,1465.22,1472.67,1454.96,1456.95
20000612,1460.83,1462.95,1446.0,1446.0
20000613,1445.74,1470.42,1442.38,1469.44
20000614,1471.23,1483.62,1467.71,1470.54
20000615,1471.64,1482.04,1464.62,1478.73
20000616,1478.73,1480.77,1460.42,1464.46
20000619,1463.9,1488.93,1459.05,1486.0
20000620,1486.71,1487.32,1470.18,1475.95
20000621,1479.13,1482.19,1468.0,1479.13
20000622,1478.19,1478.19,1448.03,1452.18
20000623,1452.78,1459.94,1438.31,1441.48
20000626,1443.65,1459.66,1443.65,1455.31
20000627,1455.31,1463.44,1450.55,1450.55
20000628,1451.96,1467.6,1451.51,1454.82
20000629,1451.71,1455.14,1434.63,1442.39
20000630,1441.33,1454.68,1438.71,1454.6
20000703,1454.27,1469.57,1450.85,1469.54
20000705,1465.27,1468.63,1442.45,1446.23
20000706,1446.61,1461.65,1439.56,1456.67
20000707,1457.48,1484.12,1457.48,1478.9
20000710,1475.67,1486.56,1474.76,1475.62
20000711,1474.24,1488.77,1470.48,1480.88
20000712,1485.26,1497.69,1485.26,1492.92
20000713,1492.92,1501.39,1489.65,1495.84
20000714,1499.39,1509.99,1494.56,1509.98
20000717,1509.92,1517.32,1505.26,1510.49
20000718,1507.64,1507.64,1491.35,1493.74
20000719,1493.74,1495.63,1479.92,1481.96
20000720,1483.9,1501.92,1483.9,1495.57
20000721,1495.57,1495.57,1477.91,1480.19
20000724,1480.82,1485.88,1463.8,1464.29
20000725,1464.28,1476.23,1464.28,1474.47
20000726,1472.08,1472.08,1452.42,1452.42
20000727,1449.06,1464.91,1445.33,1449.62
20000728,1449.62,1456.68,1413.89,1419.89
20000731,1419.9,1437.65,1418.71,1430.83
20000801,1430.83,1443.54,1428.96,1438.1
20000802,1438.31,1451.59,1433.49,1438.7
